Car_Name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,Engine (CC)
Maruti,2016,650000,50000,Petrol,Individual,Automatic,First Owner,5,1197
Maruti,2014,400000,50000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2017,351000,36000,Petrol,Individual,Manual,First Owner,5,998
Maruti,2011,185000,185000,Diesel,Individual,Manual,Third Owner,5,1248
Maruti,2005,85000,80000,Petrol,Individual,Manual,Fourth & Above Owner,5,796
Maruti,2013,480000,110000,Diesel,Individual,Manual,Third Owner,7,1248
Ford,2010,170000,90000,Diesel,Individual,Manual,Second Owner,5,1399
Maruti,2018,610000,52000,Petrol,Dealer,Manual,First Owner,5,1197
Renault,2018,390000,13000,Petrol,Dealer,Manual,First Owner,5,799
Toyota,2013,400000,70000,Diesel,Dealer,Manual,Second Owner,5,1364
Hyundai,2009,215000,60000,Petrol,Dealer,Manual,First Owner,5,1197
Renault,2014,570000,40000,Diesel,Dealer,Manual,First Owner,5,1461
Hyundai,2010,140000,70000,Petrol,Individual,Manual,Fourth & Above Owner,5,1197
Maruti,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,5,998
Maruti,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,5,1197
Maruti,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,5,1197
Hyundai,2010,150000,106000,Petrol,Individual,Manual,Third Owner,5,1197
Hyundai,2014,535000,70000,Diesel,Individual,Manual,Third Owner,5,1582
Maruti,2012,300000,100000,Diesel,Individual,Manual,Second Owner,5,1248
Maruti,2016,240000,50000,Petrol,Individual,Manual,First Owner,5,796
Maruti,2020,409999,35000,CNG,Individual,Manual,First Owner,5,1196
Maruti,2010,150000,80000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2013,219000,50000,Petrol,Individual,Manual,Second Owner,5,814
Hyundai,2017,950000,45000,Diesel,Individual,Manual,First Owner,5,1396
Maruti,2010,160000,80000,Petrol,Individual,Manual,Second Owner,5,796
Toyota,2013,450000,67000,Diesel,Individual,Manual,First Owner,5,1364
Maruti,2013,530000,120000,Diesel,Individual,Manual,Second Owner,5,1248
Volkswagen,2015,520000,110000,Diesel,Individual,Manual,Second Owner,5,1498
Mahindra,2011,229999,170000,Diesel,Individual,Manual,Second Owner,5,1461
Maruti,2014,320000,50000,Petrol,Individual,Manual,First Owner,5,998
Ford,2015,292000,70000,Diesel,Individual,Manual,First Owner,5,1399
Maruti,2014,385000,25000,Petrol,Individual,Manual,First Owner,5,998
Maruti,2019,675000,10000,Petrol,Individual,Manual,First Owner,5,1197
Ford,2018,950000,30000,Diesel,Individual,Manual,First Owner,5,1498
Hyundai,2015,610000,50000,Diesel,Individual,Manual,Second Owner,5,1396
Hyundai,2012,525000,120000,Diesel,Individual,Manual,First Owner,5,1396
Maruti,2015,434999,50000,Petrol,Individual,Manual,Second Owner,5,1197
Renault,2018,1050000,18000,Diesel,Dealer,Manual,First Owner,5,1461
Ford,2013,300000,60000,Diesel,Individual,Manual,Second Owner,5,1498
Hyundai,2008,229999,50000,Petrol,Individual,Manual,First Owner,5,1086
Hyundai,2018,500000,60000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2014,250000,25000,Petrol,Individual,Manual,First Owner,5,796
Volkswagen,2011,250000,70000,Diesel,Individual,Manual,Second Owner,5,1598
Toyota,2013,409999,45000,Diesel,Individual,Manual,First Owner,5,1364
Maruti,2016,270000,50000,Petrol,Individual,Manual,First Owner,5,796
Maruti,2011,165000,90000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2013,180000,60000,Petrol,Individual,Manual,First Owner,5,814
Maruti,2009,125000,60000,Petrol,Individual,Manual,Third Owner,5,796
Volkswagen,2012,450000,90000,Diesel,Individual,Manual,First Owner,5,1598
Maruti,2011,210000,46000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2017,320000,15000,Petrol,Individual,Manual,Second Owner,5,814
Maruti,2009,130000,70000,Petrol,Individual,Manual,Second Owner,5,796
Ford,2013,200000,70000,Diesel,Individual,Manual,Second Owner,5,1399
Maruti,2002,140000,50000,Petrol,Individual,Manual,Second Owner,5,796
Maruti,2015,236000,60000,Petrol,Individual,Manual,First Owner,5,796
Maruti,2015,390000,40000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2016,850000,58000,Diesel,Individual,Manual,First Owner,5,1582
Hyundai,2017,300000,10000,Petrol,Individual,Manual,First Owner,5,814
Hyundai,2019,466000,25000,Petrol,Individual,Automatic,Fourth & Above Owner,5,1086
Ford,2014,484999,54000,Diesel,Dealer,Manual,First Owner,5,1498
Hyundai,2011,220000,120000,Diesel,Individual,Manual,Second Owner,5,1396
Maruti,2013,630000,120000,Diesel,Individual,Manual,Second Owner,7,1248
Hyundai,2013,525000,75000,Diesel,Individual,Automatic,First Owner,5,1582
Ford,2013,245000,70000,Diesel,Individual,Manual,Second Owner,5,1399
Hyundai,2012,210000,76000,Petrol,Individual,Manual,Fourth & Above Owner,5,1197
Maruti,2020,730000,1500,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2015,400000,40000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2015,280000,60000,Petrol,Individual,Manual,Second Owner,5,814
Volkswagen,2017,700000,40906,Diesel,Dealer,Manual,First Owner,5,1498
Hyundai,2012,270000,43755,Petrol,Dealer,Manual,Second Owner,5,814
Hyundai,2011,400000,221889,Diesel,Dealer,Manual,First Owner,5,1582
Maruti,2015,500000,150546,Petrol,Dealer,Manual,First Owner,5,1197
Hyundai,2011,200000,80000,Petrol,Individual,Manual,First Owner,5,1086
Renault,2016,350000,25000,Petrol,Individual,Manual,First Owner,5,999
Maruti,2013,200000,24000,Petrol,Individual,Manual,First Owner,5,796
Ford,2012,300000,70000,Diesel,Individual,Manual,Second Owner,5,1399
Hyundai,2008,135000,80000,Petrol,Individual,Manual,Second Owner,5,1086
Maruti,2011,300000,70000,Diesel,Individual,Manual,Second Owner,5,1248
Maruti,2014,420000,80000,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2015,235000,50000,Petrol,Individual,Manual,First Owner,5,814
Ford,2016,650000,125000,Diesel,Individual,Manual,First Owner,5,1498
Maruti,2016,350000,80000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2010,270000,90000,Diesel,Individual,Manual,Third Owner,5,1396
Tata,2017,450000,50000,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2008,275000,98000,Petrol,Individual,Manual,Third Owner,5,1197
Maruti,2012,215000,90000,Petrol,Individual,Manual,Third Owner,5,796
Maruti,2019,655000,25000,Petrol,Individual,Manual,First Owner,5,1197
Ford,2019,800000,30000,Diesel,Individual,Manual,Third Owner,5,1498
Volkswagen,2011,300000,72000,Diesel,Individual,Manual,Second Owner,5,1598
Maruti,2015,320000,50000,Petrol,Individual,Manual,Second Owner,5,998
Hyundai,2010,210000,20000,Petrol,Individual,Manual,First Owner,5,1086
Renault,2016,300000,50000,Petrol,Individual,Manual,First Owner,5,999
Hyundai,2015,290000,17000,Petrol,Individual,Manual,First Owner,5,814
Maruti,2016,395000,50000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2014,195000,65000,Petrol,Individual,Manual,Second Owner,5,814
Hyundai,2015,715000,50000,Diesel,Individual,Manual,First Owner,5,1396
Hyundai,2012,335000,135000,Diesel,Individual,Manual,First Owner,5,1396
Maruti,2014,300000,35000,Petrol,Individual,Manual,First Owner,5,998
Tata,2013,280000,80000,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2018,500000,10000,Petrol,Individual,Manual,First Owner,5,1197
Renault,2017,300000,35000,Petrol,Individual,Manual,First Owner,5,999
Volkswagen,2014,350000,60000,Diesel,Individual,Manual,Second Owner,5,1498
Maruti,2015,450000,30000,Petrol,Individual,Manual,First Owner,5,1197
Hyundai,2011,180000,80000,Petrol,Individual,Manual,Second Owner,5,814
Hyundai,2013,200000,80000,Petrol,Individual,Manual,Second Owner,5,814
Maruti,2005,85000,150000,Petrol,Individual,Manual,Second Owner,5,796
Volkswagen,2010,275000,80000,Diesel,Individual,Manual,Fourth & Above Owner,5,1199
Hyundai,2012,321000,100000,Diesel,Individual,Manual,Second Owner,5,1396
Tata,2012,250000,40000,Diesel,Individual,Manual,First Owner,5,1248
Maruti,2010,165000,30000,Petrol,Individual,Manual,Third Owner,5,796
Maruti,2013,430000,86000,Diesel,Individual,Manual,Second Owner,5,1248
Renault,2018,400000,60000,Petrol,Individual,Manual,First Owner,5,999
Maruti,2015,430000,5000,Petrol,Individual,Manual,First Owner,5,998
Maruti,2017,573000,30000,Petrol,Individual,Manual,First Owner,5,1197
Hyundai,2015,210000,40000,Petrol,Individual,Manual,First Owner,5,814
Tata,2019,550000,15000,Petrol,Individual,Manual,First Owner,5,1199
Maruti,2008,95000,120000,Petrol,Individual,Manual,First Owner,5,796
Maruti,2009,101000,90000,Petrol,Individual,Manual,Fourth & Above Owner,8,796
Hyundai,2012,244000,38000,Petrol,Individual,Manual,First Owner,5,814
Maruti,2013,250000,90000,Petrol,Individual,Manual,Second Owner,5,998
Maruti,2016,660000,60000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2012,280000,156060,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2017,1050000,60000,Diesel,Individual,Manual,First Owner,5,1582
Maruti,2017,525000,70000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2015,241000,15000,Petrol,Individual,Manual,First Owner,5,796
Maruti,2015,235000,20000,Petrol,Individual,Manual,First Owner,5,796
Ford,2015,615000,80000,Diesel,Individual,Manual,First Owner,5,1498
Mahindra,2014,350000,110000,Diesel,Individual,Manual,Second Owner,5,1461
Maruti,2014,350000,35000,Petrol,Individual,Manual,First Owner,5,998
Maruti,2014,380000,35000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2015,360000,20000,Petrol,Individual,Manual,First Owner,5,1086
Hyundai,2016,425000,15000,Petrol,Individual,Manual,First Owner,5,1086
Maruti,2009,120000,58000,Petrol,Individual,Manual,First Owner,5,796
Hyundai,2015,204999,43000,Petrol,Individual,Manual,Second Owner,5,998
Maruti,2013,600000,60000,Diesel,Individual,Manual,First Owner,7,1248
Hyundai,2011,300000,80000,Diesel,Individual,Manual,First Owner,5,1582
Maruti,2015,750000,14000,Diesel,Individual,Manual,First Owner,7,1248
Hyundai,2011,160000,57000,Petrol,Individual,Manual,First Owner,5,814
Toyota,2015,1050000,60000,Diesel,Individual,Manual,First Owner,5,1364
Tata,2010,150000,120000,Diesel,Individual,Manual,Second Owner,5,1248
Maruti,2015,350000,25000,Petrol,Individual,Manual,First Owner,5,998
Renault,2019,580000,12000,Petrol,Individual,Manual,First Owner,7,999
Ford,2010,180000,110000,Diesel,Individual,Manual,Second Owner,5,1399
Hyundai,2010,270000,100000,Diesel,Individual,Manual,Fourth & Above Owner,5,1396
Ford,2011,190000,90000,Diesel,Individual,Manual,Second Owner,5,1399
Toyota,2013,409999,90000,Diesel,Individual,Manual,First Owner,5,1364
Hyundai,2015,270000,43000,Petrol,Individual,Manual,First Owner,5,814
Tata,2017,280000,80000,Diesel,Individual,Manual,First Owner,5,1248
Tata,2012,130000,60000,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2014,260000,18945,Petrol,Individual,Manual,First Owner,5,814
Hyundai,2012,320000,107825,Diesel,Individual,Manual,Second Owner,5,1396
Maruti,2020,370000,15000,Petrol,Individual,Manual,First Owner,5,796
Hyundai,2018,750000,30000,Diesel,Individual,Manual,First Owner,5,1396
Hyundai,2019,450000,10000,Petrol,Individual,Manual,First Owner,5,1086
Maruti,2012,400000,100000,Diesel,Individual,Manual,Third Owner,7,1248
Maruti,2013,199000,60000,Petrol,Individual,Manual,Second Owner,5,998
Hyundai,2016,540000,80000,Diesel,Individual,Manual,Third Owner,5,1396
Maruti,2011,250000,85000,Diesel,Individual,Manual,Second Owner,5,1248
Hyundai,2012,450000,120000,Diesel,Individual,Manual,Second Owner,5,1582
Hyundai,2019,1000000,15000,Diesel,Individual,Manual,First Owner,5,1396
Maruti,2012,415000,108000,Diesel,Individual,Manual,First Owner,5,1248
Ford,2011,175000,90400,Diesel,Individual,Manual,First Owner,5,1399
Maruti,2003,85000,120000,Diesel,Individual,Manual,Third Owner,5,1527
Maruti,2019,675000,5000,Petrol,Individual,Manual,First Owner,5,1197
Renault,2016,535000,50000,Diesel,Individual,Manual,First Owner,5,1461
Renault,2019,675000,5000,Petrol,Individual,Manual,First Owner,7,999
Maruti,2012,425000,96000,Diesel,Individual,Manual,Second Owner,7,1248
Hyundai,2017,850000,63186,Diesel,Individual,Manual,First Owner,5,1396
Maruti,2019,675000,5000,Petrol,Individual,Automatic,First Owner,5,1197
Maruti,2010,150000,91500,Petrol,Individual,Manual,First Owner,5,796
Volkswagen,2012,350000,40000,Diesel,Individual,Manual,First Owner,5,1598
Maruti,2012,300000,70000,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2013,700000,120000,Diesel,Individual,Manual,First Owner,5,1582
Chevrolet,2013,300000,65000,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2015,650000,100000,Diesel,Individual,Manual,First Owner,5,1396
Hyundai,2015,650000,80000,Diesel,Individual,Manual,First Owner,5,1396
Volkswagen,2013,350000,80000,Diesel,Individual,Manual,Third Owner,5,1199
Maruti,2013,240000,60000,Petrol,Individual,Manual,First Owner,5,998
Maruti,2014,550000,50000,Diesel,Individual,Manual,Second Owner,7,1248
Maruti,2013,350000,40000,Petrol,Individual,Manual,First Owner,5,998
Ford,2012,425000,81632,Diesel,Dealer,Manual,First Owner,5,1399
Ford,2014,750000,101504,Diesel,Dealer,Manual,First Owner,5,1498
Ford,2013,600000,125531,Diesel,Dealer,Manual,Second Owner,5,1498
Tata,2018,950000,40000,Diesel,Individual,Automatic,First Owner,5,1497
Maruti,2013,409999,100000,Diesel,Individual,Manual,Third Owner,5,1248
Maruti,2000,108000,206000,Petrol,Individual,Manual,Fourth & Above Owner,5,796
Maruti,2017,425000,40000,Petrol,Individual,Manual,Second Owner,5,998
Hyundai,2013,310000,70000,Petrol,Individual,Manual,First Owner,5,1086
Hyundai,2017,1125000,105000,Diesel,Individual,Manual,First Owner,5,1396
Volkswagen,2011,388000,80000,Diesel,Individual,Manual,Second Owner,5,1199
Maruti,2009,120000,90000,Petrol,Individual,Manual,First Owner,5,796
Maruti,2015,270000,53000,Petrol,Individual,Manual,Second Owner,5,796
Maruti,2019,600000,10000,Petrol,Individual,Automatic,First Owner,5,1197
Maruti,2013,215000,25000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2015,750000,74000,Diesel,Individual,Manual,First Owner,5,1582
Maruti,2018,795000,41779,Petrol,Dealer,Manual,First Owner,5,1197
Maruti,2018,750000,15000,Petrol,Dealer,Manual,First Owner,5,1197
Hyundai,2017,1150000,63309,Diesel,Dealer,Manual,First Owner,5,1582
Maruti,2016,400000,35000,Petrol,Individual,Automatic,First Owner,5,998
Chevrolet,2015,480000,80000,Diesel,Individual,Manual,Second Owner,5,1248
Maruti,2005,90000,40000,Petrol,Individual,Manual,Second Owner,5,796
Maruti,2005,80000,40000,Petrol,Individual,Manual,Second Owner,5,796
Maruti,2015,350000,90000,Diesel,Individual,Manual,First Owner,5,1248
Mahindra,2012,350000,25000,Diesel,Individual,Manual,First Owner,5,1461
Maruti,2016,340000,40000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2014,300000,65000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2014,204999,15000,Petrol,Individual,Manual,Second Owner,5,796
Mahindra,2012,254999,70000,Diesel,Individual,Manual,Second Owner,5,1461
Hyundai,2017,280000,50000,Petrol,Individual,Manual,Second Owner,5,814
Hyundai,2011,225000,80000,Petrol,Individual,Manual,Second Owner,5,1086
Mahindra,2012,260000,70000,Diesel,Individual,Manual,Second Owner,5,1461
Ford,2012,280000,60000,Diesel,Individual,Manual,First Owner,5,1399
Mahindra,2014,350000,106000,Diesel,Individual,Manual,Second Owner,5,1461
Maruti,2013,250000,27000,Petrol,Individual,Manual,First Owner,5,998
Maruti,2007,95000,70000,Petrol,Individual,Manual,Second Owner,5,796
Maruti,2017,610000,15000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2015,511000,30000,Petrol,Individual,Manual,First Owner,5,1197
Renault,2013,434999,120000,Diesel,Individual,Manual,First Owner,5,1461
Ford,2010,210000,100000,Diesel,Individual,Manual,Second Owner,5,1399
Renault,2017,290000,50000,Petrol,Individual,Manual,First Owner,5,999
Maruti,2006,100000,40000,Petrol,Individual,Manual,First Owner,5,796
Maruti,2019,450000,10000,CNG,Individual,Manual,First Owner,5,1196
Maruti,2014,351000,89100,Diesel,Individual,Manual,Second Owner,5,1248
Hyundai,2015,225000,120000,Petrol,Individual,Manual,Second Owner,5,814
Maruti,2011,140000,50000,Petrol,Individual,Manual,Third Owner,5,998
Maruti,2017,370000,140000,CNG,Individual,Manual,First Owner,5,1196
Hyundai,2015,500000,126000,Diesel,Individual,Manual,First Owner,5,1396
Hyundai,2019,570000,15000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2009,120000,120000,Petrol,Individual,Manual,First Owner,5,796
Maruti,2011,280000,210000,Diesel,Individual,Manual,First Owner,5,1248
Maruti,2009,180000,85000,Diesel,Individual,Manual,Third Owner,5,1248
Hyundai,2009,340000,40000,Diesel,Individual,Manual,First Owner,5,1396
Maruti,2017,400000,65000,Petrol,Individual,Manual,Second Owner,5,998
Maruti,2005,95000,70000,Petrol,Individual,Manual,Third Owner,5,796
Renault,2017,880000,65000,Diesel,Individual,Manual,First Owner,8,1461
Maruti,2019,480000,25000,Petrol,Individual,Manual,First Owner,5,1197
Honda,2016,850000,72113,Diesel,Individual,Manual,First Owner,7,1498
Tata,2012,300000,40000,Diesel,Individual,Manual,First Owner,5,1396
Maruti,2010,220000,20000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2014,450000,80000,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2018,800000,30000,Diesel,Individual,Manual,First Owner,5,1396
Volkswagen,2011,375000,69000,Diesel,Individual,Manual,Second Owner,5,1598
Maruti,2004,60000,113000,Petrol,Individual,Manual,Second Owner,5,796
Renault,2012,300000,100000,Diesel,Individual,Manual,Third Owner,5,1461
Tata,2012,150000,110000,Diesel,Individual,Manual,First Owner,5,1248
Ford,2015,600000,90000,Diesel,Individual,Manual,First Owner,5,1498
Ford,2011,204999,100000,Diesel,Individual,Manual,Second Owner,5,1399
Maruti,2019,610000,10000,Petrol,Individual,Automatic,First Owner,5,1197
Maruti,2014,509999,110000,Diesel,Individual,Manual,First Owner,5,1248
Maruti,2014,511000,100000,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2014,451000,91000,Diesel,Individual,Manual,First Owner,5,1396
Hyundai,2009,170000,100000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2013,450000,120000,Diesel,Individual,Manual,Second Owner,5,1248
Maruti,2016,305000,60000,Petrol,Individual,Manual,Second Owner,5,796
Chevrolet,2016,250000,60000,Diesel,Individual,Manual,Second Owner,5,1248
Ford,2012,200000,104500,Diesel,Individual,Manual,Second Owner,5,1399
Maruti,2014,509999,100000,Diesel,Individual,Manual,Second Owner,5,1248
Maruti,2014,235000,50000,Petrol,Individual,Manual,First Owner,5,796
Maruti,2019,585000,10000,Petrol,Individual,Manual,First Owner,5,1197
Mahindra,2018,500000,10000,Diesel,Individual,Manual,First Owner,8,909
Maruti,2019,450000,60000,CNG,Individual,Manual,First Owner,5,1196
Hyundai,2013,325000,70000,Diesel,Individual,Manual,Third Owner,5,1396
Volkswagen,2011,260000,120000,Diesel,Individual,Manual,Third Owner,5,1598
Maruti,2009,130000,80000,Petrol,Individual,Manual,Third Owner,5,796
Hyundai,2014,275000,53000,Petrol,Individual,Manual,First Owner,5,1197
Volkswagen,2013,330000,100000,Diesel,Individual,Manual,Third Owner,5,1598
Maruti,2012,450000,98000,Diesel,Individual,Manual,Fourth & Above Owner,7,1248
Hyundai,2014,250000,60000,Petrol,Individual,Manual,First Owner,5,814
Hyundai,2010,165000,80000,Petrol,Individual,Manual,Third Owner,5,1197
Tata,2017,525000,19723,Petrol,Dealer,Automatic,First Owner,5,1199
Hyundai,2017,675000,25471,Diesel,Dealer,Manual,First Owner,5,1396
Maruti,2016,400000,74381,Petrol,Dealer,Manual,First Owner,5,998
Ford,2017,850000,63982,Diesel,Dealer,Manual,First Owner,5,1498
Hyundai,2012,270000,56000,Petrol,Individual,Manual,First Owner,5,1197
Hyundai,2019,434999,19500,Petrol,Dealer,Manual,First Owner,5,1086
Hyundai,2016,575000,53000,Diesel,Dealer,Manual,First Owner,5,1396
Hyundai,2017,600000,5000,Petrol,Individual,Manual,First Owner,5,1197
Toyota,2013,270000,52380,Diesel,Dealer,Manual,First Owner,5,1364
Mahindra,2018,660000,74250,Diesel,Dealer,Manual,First Owner,7,1498
Maruti,2017,490000,57247,Petrol,Dealer,Automatic,First Owner,5,1197
Maruti,2010,125000,120000,Petrol,Individual,Manual,Third Owner,5,796
